ciudad,temperatura,unidad
Moscu_2393,34.6,C
Chicago_2394,25.3,C
Houston_2395,23.6,F
Caracas_2396,22,C
Lima_2397,-7.5,F
Nueva York_2398,4.8,F
CDMX_2399,75.7,F
Lagos_2400,117.6,F
Varsovia_2401,118,F
Mumbai_2402,-21.8,C
Moscu_2403,20.4,C
Puebla_2404,44.5,C
Reykjavik_2405,45.7,F
Miami_2406,11.1,F
Auckland_2407,46,C
Toronto_2408,44,C
Puebla_2409,96.5,F
Lima_2410,21.7,C
Seattle_2411,79.1,F
Puebla_2412,-10.9,C
Chicago_2413,26.6,C
Melbourne_2414,-15.2,C
Nueva York_2415,45.2,C
Londres_2416,91.4,F
Guadalajara_2417,13.6,C
Bogota_2418,-3.5,C
Guadalajara_2419,43.8,C
Helsinki_2420,25,C
Phoenix_2421,47.9,F
Paris_2422,48.9,F
Tokio_2423,35.3,F
Lima_2424,32.7,C
Bangkok_2425,14.4,C
Honolulu_2426,65.4,F
Caracas_2427,66.2,F
Bangkok_2428,-0.3,C
Berlin_2429,29.2,C
Lisboa_2430,-0.8,C
CDMX_2431,19,C
Helsinki_2432,35.2,C
Nueva York_2433,80.9,F
Seattle_2434,-17.1,C
Puebla_2435,-25.4,C
Auckland_2436,86.7,F
Reykjavik_2437,-14.5,C
Paris_2438,52.5,F
Guadalajara_2439,15.5,C
Los Angeles_2440,0.8,C
Bangkok_2441,-21.3,C
Buenos Aires_2442,12.9,F
Cancun_2443,103.4,F
Paris_2444,21.9,F
Varsovia_2445,16.6,C
Atenas_2446,-19.2,C
Budapest_2447,14.5,C
Auckland_2448,3.9,C
Paris_2449,3.2,C
Nueva York_2450,62.2,F
Miami_2451,-25.2,C
Toronto_2452,28.8,F
Madrid_2453,2.9,F
Cancun_2454,-10,F
CDMX_2455,-22.7,C
Roma_2456,-9.6,C
Berlin_2457,26.9,C
Guadalajara_2458,16.6,C
Guadalajara_2459,7.7,C
Pekín_2460,61.3,F
Buenos Aires_2461,25.1,C
Denver_2462,111.6,F
Bogota_2463,-20.9,C
Auckland_2464,-19.1,C
Madrid_2465,27,C
Varsovia_2466,-15.8,C
Budapest_2467,31.9,F
Moscu_2468,39.5,F
Lagos_2469,12.1,F
Nueva York_2470,85.2,F
Bogota_2471,86.6,F
Cairo_2472,-1.5,F
Lagos_2473,7.2,C
Paris_2474,-14.4,C
Paris_2475,73.2,F
Atenas_2476,-25.4,C
Guadalajara_2477,3.2,C
Bogota_2478,6.9,C
Caracas_2479,46.1,C
Atenas_2480,42.8,C
Bogota_2481,-7.9,F
Atenas_2482,0.8,C
Estocolmo_2483,47.2,C
Paris_2484,-13.2,F
Oslo_2485,75,F
Lima_2486,108.9,F
Budapest_2487,8.2,F
Helsinki_2488,-6.8,F
Cancun_2489,-2.7,C
Seattle_2490,-10.2,F
Bangkok_2491,4.2,F
Cairo_2492,-5.7,F
Bogota_2493,-8.4,F
Monterrey_2494,-5.4,C
Madrid_2495,25.9,C
Puebla_2496,34,C
Miami_2497,37.6,F
Las Vegas_2498,-0.7,C
Auckland_2499,47.2,C
Moscu_2500,-24.3,C
Moscu_2501,-13.7,F
Londres_2502,84.7,F
Las Vegas_2503,17.3,C
Phoenix_2504,19.8,C
Puebla_2505,-21.5,C
Santiago_2506,47.2,C
Sydney_2507,56.8,F
Nueva York_2508,20.5,F
Seattle_2509,20.3,C
Varsovia_2510,-13.5,F
Buenos Aires_2511,-15.1,C
Budapest_2512,36.1,F
Auckland_2513,85.6,F
Buenos Aires_2514,-9.1,C
Madrid_2515,28.5,F
Caracas_2516,114.4,F
Bogota_2517,104.1,F
Puebla_2518,-17.1,C
Oslo_2519,-19.6,C
Berlin_2520,60.1,F
Singapur_2521,-28.7,C
Cairo_2522,17.5,F
Sydney_2523,62.5,F
Tijuana_2524,-6.1,F
Boston_2525,42.4,C
Bogota_2526,71.4,F
Nairobi_2527,104.1,F
Helsinki_2528,91.7,F
Santiago_2529,-1.7,C
Caracas_2530,39.7,C
Varsovia_2531,109.2,F
CDMX_2532,116.1,F
Monterrey_2533,23.8,C
Houston_2534,34.7,C
Sydney_2535,3.3,F
Estocolmo_2536,-19.4,C
Bogota_2537,43.3,C
Mumbai_2538,6.8,C
Cairo_2539,92.7,F
Houston_2540,14.7,C
Berlin_2541,17.8,F
Auckland_2542,-5.6,F
Dubai_2543,-27.5,C
Budapest_2544,40.2,F
Nueva York_2545,15.2,C
Estocolmo_2546,38.8,C
Melbourne_2547,96.4,F
Phoenix_2548,-4.3,C
Monterrey_2549,-11,F
Los Angeles_2550,50.6,F
Pekín_2551,7.9,C
Miami_2552,80.1,F
Varsovia_2553,-7.1,F
Houston_2554,8.4,C
Moscu_2555,13.7,C
Boston_2556,10.2,C
Tokio_2557,30.4,F
Madrid_2558,111.3,F
Los Angeles_2559,25.2,C
Denver_2560,-28.7,C
Phoenix_2561,-2.7,C
Bogota_2562,-23.6,C
Chicago_2563,105.6,F
Roma_2564,49.6,F
Sydney_2565,-15.1,C
Seattle_2566,33.2,F
Denver_2567,29.6,C
Pekín_2568,9.5,C
Caracas_2569,29,C
Paris_2570,71.7,F
Singapur_2571,93.3,F
Oslo_2572,18.6,F
Madrid_2573,21.2,C
Bangkok_2574,42.4,F
Paris_2575,11.7,C
Singapur_2576,56.9,F
Honolulu_2577,45.5,C
Guadalajara_2578,-25.7,C
Boston_2579,6.5,C
Seattle_2580,82.4,F
Sydney_2581,65.9,F
Singapur_2582,32.3,C
Buenos Aires_2583,81.8,F
Berlin_2584,13,C
Varsovia_2585,39.3,C
Lagos_2586,57.3,F
Bangkok_2587,-10.9,F
Auckland_2588,-2.7,C
Atenas_2589,10.1,F
Bogota_2590,-13,C
Bogota_2591,13.6,C
Tijuana_2592,95.8,F
Cairo_2593,-2.4,C
Estocolmo_2594,63.8,F
Varsovia_2595,-15.7,C
Oslo_2596,91.7,F
Phoenix_2597,48.6,C
Bogota_2598,78,F
Estocolmo_2599,72.1,F
Lima_2600,70.2,F
Melbourne_2601,-19,C
Lagos_2602,-15,F
Tijuana_2603,57.9,F
Nairobi_2604,41.7,F
Toronto_2605,27.1,C
Ankara_2606,-9.2,C
Bogota_2607,-12.7,C
Reykjavik_2608,34.3,C
Singapur_2609,5.1,C
Bangkok_2610,9.4,C
Monterrey_2611,4.6,C
Denver_2612,21.7,C
Budapest_2613,-13.9,C
Toronto_2614,67.9,F
Las Vegas_2615,8.1,C
Santiago_2616,26.9,C
CDMX_2617,-10.2,F
Melbourne_2618,96.8,F
Nueva York_2619,12.5,F
Seattle_2620,33,C
Houston_2621,-13.9,F
Pekín_2622,-27.4,C
Budapest_2623,13.7,C
Seattle_2624,46.5,F
Toronto_2625,85,F
Los Angeles_2626,-26.9,C
CDMX_2627,49.7,C
Nairobi_2628,-14.2,C
Berlin_2629,-11.1,C
Buenos Aires_2630,88.6,F
Tijuana_2631,38.1,C
Guadalajara_2632,1.2,C
Tokio_2633,12.2,C
CDMX_2634,75.3,F
Ankara_2635,91,F
Nairobi_2636,38.1,C
Houston_2637,-23.8,C
Boston_2638,112.2,F
Buenos Aires_2639,-25.1,C
Moscu_2640,69.1,F
Chicago_2641,33,F
Dubai_2642,57.4,F
Boston_2643,67.7,F
Budapest_2644,-27.1,C
Cairo_2645,24.5,F
Londres_2646,-7.6,F
Auckland_2647,94,F
Honolulu_2648,-10.3,C
Nueva York_2649,8.2,C
Ankara_2650,6.6,C
Dubai_2651,10.5,C
Roma_2652,21.2,C
Sydney_2653,-15.6,C
Los Angeles_2654,39.2,C
Pekín_2655,-7.6,C
Buenos Aires_2656,-14.3,F
Chicago_2657,45.2,F
Lima_2658,38,C
Lima_2659,20,C
Ankara_2660,-17.7,F
CDMX_2661,5.5,C
Caracas_2662,36.3,C
Dubai_2663,38.4,F
Melbourne_2664,41.2,C
Houston_2665,40.6,C
Pekín_2666,-18.9,F
Puebla_2667,10,C
Pekín_2668,-1.7,C
Cairo_2669,105.3,F
Reykjavik_2670,-15.3,F
Budapest_2671,-25.9,C
Madrid_2672,39.1,F
Varsovia_2673,37.9,F
Houston_2674,105.7,F
Moscu_2675,-15.6,C
Seattle_2676,-4.3,C
Reykjavik_2677,15.9,F
Nueva York_2678,116,F
Singapur_2679,115.8,F
Moscu_2680,-1.2,C
Paris_2681,-20,C
Reykjavik_2682,26.1,F
Singapur_2683,48.6,C
Atenas_2684,-12,C
Reykjavik_2685,32.6,C
Sydney_2686,-14,C
Lisboa_2687,58.9,F
Madrid_2688,91.2,F
Berlin_2689,-4.5,C
Phoenix_2690,-17,C
Caracas_2691,31.8,F
Honolulu_2692,31,F
Tijuana_2693,40.4,C
Nairobi_2694,-17.3,C
Guadalajara_2695,19.6,F
Singapur_2696,4.7,C
Dubai_2697,9.1,C
Bangkok_2698,-6,F
Lagos_2699,20,C
Cairo_2700,27,F
Tijuana_2701,33.5,C
Estocolmo_2702,43.5,C
Dubai_2703,91.9,F
Toronto_2704,43.9,C
Houston_2705,23.7,C
Bangkok_2706,4.6,C
Buenos Aires_2707,-27.9,C
Londres_2708,42.2,C
Lisboa_2709,65.6,F
Atenas_2710,5.4,C
Budapest_2711,21.3,C
Nairobi_2712,2.9,F
Budapest_2713,-4.5,F
Honolulu_2714,111.3,F
Sydney_2715,20.1,F
Chicago_2716,61.2,F
Atenas_2717,106.9,F
Santiago_2718,9.8,C
Mumbai_2719,23.2,C
Pekín_2720,107.5,F
Puebla_2721,-27.7,C
Las Vegas_2722,-0.9,C
Miami_2723,7.6,C
Tokio_2724,29.5,F
Guadalajara_2725,-18.6,C
Helsinki_2726,24.2,F
Toronto_2727,-18.2,F
Bogota_2728,54.9,F
Singapur_2729,93.7,F
Helsinki_2730,38.6,C
Houston_2731,101,F
Tijuana_2732,55.2,F
Estocolmo_2733,25.1,C
Honolulu_2734,-22,C
Caracas_2735,16.6,F
Madrid_2736,5,C
Phoenix_2737,53.8,F
Oslo_2738,-4.5,F
Puebla_2739,-12.5,C
Mumbai_2740,4.7,C
Cairo_2741,20.4,C
Miami_2742,33.3,C
Helsinki_2743,26.9,F
Tokio_2744,52.6,F
Pekín_2745,113.6,F
Houston_2746,19.2,C
Guadalajara_2747,-18.8,C
Los Angeles_2748,9.6,C
Chicago_2749,45.6,C
Tokio_2750,113.3,F
Nairobi_2751,40.2,F
Londres_2752,94.4,F
Reykjavik_2753,-4.8,C
CDMX_2754,26.1,F
Paris_2755,-2.4,C
Mumbai_2756,22.5,C
Atenas_2757,-25.8,C
Estocolmo_2758,66.5,F
Oslo_2759,-22.8,C
Singapur_2760,119.2,F
Pekín_2761,42.5,C
Roma_2762,31.8,C
Estocolmo_2763,11.5,F
CDMX_2764,82,F
Bangkok_2765,72.5,F
Oslo_2766,20.9,C
Tijuana_2767,6.5,F
Bogota_2768,-0.1,C
Buenos Aires_2769,4,C
Roma_2770,20.3,C
Boston_2771,112.4,F
Ankara_2772,2.6,C
Bogota_2773,-12.3,C
Cancun_2774,109,F
Guadalajara_2775,-29.1,C
Nairobi_2776,-19.7,F
Madrid_2777,-7.7,C
Melbourne_2778,7.5,F
Moscu_2779,-2.6,F
Chicago_2780,22.8,C
Santiago_2781,34,C
Santiago_2782,20.1,C
Auckland_2783,61.5,F
Estocolmo_2784,106.9,F
CDMX_2785,6.5,C
Ankara_2786,10.2,C
Lima_2787,93.6,F
Buenos Aires_2788,-21.6,C
Miami_2789,39.6,C
Lima_2790,-0.9,C
Varsovia_2791,42,C
Madrid_2792,-21.4,C
Cairo_2793,-17,C
Bangkok_2794,-15.7,F
Moscu_2795,-8.9,C
Helsinki_2796,10.6,C
Caracas_2797,105.7,F
Honolulu_2798,5.3,C
Denver_2799,15.8,C
Phoenix_2800,9.3,C
Nairobi_2801,91.7,F
Seattle_2802,3.5,C
Santiago_2803,48.4,F
Chicago_2804,66.4,F
Reykjavik_2805,30.3,C
Bogota_2806,43.5,F
Santiago_2807,12,C
Phoenix_2808,49.4,C
Ankara_2809,32.1,F
Los Angeles_2810,64.8,F
Pekín_2811,46.1,C
Honolulu_2812,24.4,C
Lagos_2813,64.8,F
Atenas_2814,1,F
Lima_2815,48.2,C
Cancun_2816,6.2,C
Bogota_2817,71.4,F
Nairobi_2818,3,F
Tijuana_2819,55.6,F
Varsovia_2820,69.5,F
Londres_2821,40.3,C
Las Vegas_2822,18.8,C
Guadalajara_2823,18.3,C
Seattle_2824,-25.8,C
Lima_2825,47.9,F
Londres_2826,28.3,F
Berlin_2827,39.6,C
Santiago_2828,1,C
Bogota_2829,9.4,C
CDMX_2830,20.4,C
Varsovia_2831,12.8,F
Berlin_2832,-25.9,C
CDMX_2833,22.8,C
Phoenix_2834,-4.2,C
Helsinki_2835,67.8,F
Melbourne_2836,10.3,C
CDMX_2837,-6.1,F
Singapur_2838,75.2,F
Cancun_2839,-2,C
Caracas_2840,25,C
Las Vegas_2841,-20.1,C
Melbourne_2842,37.6,C
Nueva York_2843,-16.3,F
Tijuana_2844,24.4,C
Lagos_2845,54.7,F
Guadalajara_2846,70.8,F
Pekín_2847,-5.5,F
Varsovia_2848,114.5,F
Guadalajara_2849,33,C
Auckland_2850,-19.1,C
Moscu_2851,43.1,C
Mumbai_2852,82.1,F
Lisboa_2853,52.8,F
Melbourne_2854,13.1,C
Lisboa_2855,39,C
Budapest_2856,-4.9,F
Estocolmo_2857,94.2,F
Budapest_2858,108.8,F
Varsovia_2859,-15.3,C
Lagos_2860,-20.8,F
Auckland_2861,-20,F
Lisboa_2862,22.5,F
Auckland_2863,64,F
Oslo_2864,47.5,C
Nueva York_2865,104.4,F
Puebla_2866,-24.5,C
Lima_2867,13.7,C
Santiago_2868,-19.6,C
Bogota_2869,-24.6,C
Miami_2870,37.4,C
Boston_2871,-14.9,F
Santiago_2872,30.2,C
Guadalajara_2873,94.1,F
CDMX_2874,102.2,F
Auckland_2875,-7.4,C
Honolulu_2876,-16.9,C
Las Vegas_2877,17.4,F
Atenas_2878,-9.2,C
Singapur_2879,105.4,F
Roma_2880,38.1,F
Buenos Aires_2881,43.7,C
Miami_2882,4,F
Cancun_2883,0.4,F
Reykjavik_2884,18.5,C
Berlin_2885,-29.3,C
Reykjavik_2886,77.8,F
Madrid_2887,0.5,F
Berlin_2888,37,C
Moscu_2889,-2.2,F
Guadalajara_2890,20.9,F
Oslo_2891,70.7,F
Roma_2892,-12.9,C
CDMX_2893,39.1,C
Oslo_2894,-8,F
Cancun_2895,26.3,C
Nairobi_2896,45.2,C
Phoenix_2897,18.1,F
Miami_2898,0.7,C
Dubai_2899,12.3,F
Dubai_2900,40.8,C
Honolulu_2901,-19.2,F
Los Angeles_2902,-2.9,C
Nairobi_2903,-5.7,C
Cancun_2904,110.8,F
Seattle_2905,43.7,F
Lisboa_2906,29.9,F
Nueva York_2907,-29.8,C
Miami_2908,-17.2,C
Bogota_2909,47.8,C
Guadalajara_2910,0.7,F
Seattle_2911,-8.5,C
Paris_2912,7.3,C
Auckland_2913,42.2,F
Moscu_2914,-16,F
Moscu_2915,17.1,F
Toronto_2916,52.2,F
Lagos_2917,-29.4,C
Las Vegas_2918,101.9,F
Monterrey_2919,31.6,C
Dubai_2920,18.1,C
Berlin_2921,-15.6,C
Sydney_2922,29.3,C
Oslo_2923,109.7,F
Varsovia_2924,96.3,F
Guadalajara_2925,31,C
Los Angeles_2926,70.5,F
Chicago_2927,102.4,F
Lisboa_2928,23.4,F
Melbourne_2929,102.5,F
Helsinki_2930,1.6,C
Londres_2931,103.1,F
Auckland_2932,43.3,C
Las Vegas_2933,34.9,C
Caracas_2934,-6,C
Santiago_2935,-1.4,F
Los Angeles_2936,-20.9,F
Tokio_2937,100.2,F
Caracas_2938,5.6,F
Santiago_2939,104.9,F
Nairobi_2940,-4.8,C
Lagos_2941,57.9,F
Tijuana_2942,13.6,C
Lisboa_2943,35.3,C
Guadalajara_2944,-4.8,C
Tijuana_2945,47.1,F
Bangkok_2946,18.6,C
Nueva York_2947,88.7,F
Tokio_2948,16.1,C
Londres_2949,14.6,C
Nueva York_2950,-24.6,C
Toronto_2951,80.5,F
Houston_2952,13.2,C
Mumbai_2953,84,F
Buenos Aires_2954,3.8,F
Denver_2955,-11.7,F
Oslo_2956,42.2,C
Los Angeles_2957,38.8,C
Mumbai_2958,5.8,C
Lagos_2959,110.3,F
Ankara_2960,-25.6,C
Reykjavik_2961,18,C
Buenos Aires_2962,18.3,F
Los Angeles_2963,46.7,C
Lima_2964,29,C
Puebla_2965,0,F
Budapest_2966,-13.7,C
Phoenix_2967,20.7,C
Moscu_2968,3.1,C
Roma_2969,26,C
Denver_2970,91.7,F
Mumbai_2971,12.7,F
Madrid_2972,-17.7,F
Tokio_2973,119.2,F
Puebla_2974,3.9,F
Guadalajara_2975,38.3,C
Pekín_2976,0.2,C
Cancun_2977,42.5,C
Reykjavik_2978,25.6,F
Pekín_2979,61.1,F
Moscu_2980,67.8,F
Seattle_2981,73,F
Lagos_2982,29,C
Cancun_2983,66.8,F
Singapur_2984,43.7,C
Estocolmo_2985,99,F
Roma_2986,-18.1,F
Berlin_2987,43,F
Nairobi_2988,119.6,F
Bogota_2989,-21.9,C
Estocolmo_2990,21.3,C
Helsinki_2991,40.7,F
Seattle_2992,110.4,F
Nairobi_2993,42.5,F
Dubai_2994,-19,F
Tijuana_2995,-24.2,C
Varsovia_2996,52.5,F
Berlin_2997,-22.8,C
Mumbai_2998,75.9,F
Helsinki_2999,119,F
Roma_3000,26.7,C
Dubai_3001,53.8,F
Nairobi_3002,-15.2,F
Berlin_3003,-25.9,C
Lagos_3004,48.3,C
Estocolmo_3005,16.1,F
Seattle_3006,-18.1,F
Budapest_3007,92.3,F
Mumbai_3008,44.5,C
Atenas_3009,21,C
Boston_3010,29.7,F
Budapest_3011,96.6,F
Mumbai_3012,0.9,C
Reykjavik_3013,81.3,F
Toronto_3014,17.2,C
Melbourne_3015,58.8,F
Madrid_3016,-21.8,F
Caracas_3017,22.4,F
Singapur_3018,10.8,C
Phoenix_3019,48.3,C
Nueva York_3020,59.6,F
Honolulu_3021,15,C
Boston_3022,-14.3,F
Boston_3023,-10.7,C
Tijuana_3024,118.3,F
Houston_3025,-15.7,C
Tokio_3026,108.7,F
Boston_3027,26.9,C
Houston_3028,112,F
Lagos_3029,47.6,F
Mumbai_3030,74.3,F
Auckland_3031,36.2,C
Atenas_3032,29.8,C
Moscu_3033,13.9,F
Honolulu_3034,-17.4,F
Toronto_3035,-15.2,C
Oslo_3036,34.8,C
Las Vegas_3037,-1.1,F
Monterrey_3038,-13.2,C
Denver_3039,11.2,F
Paris_3040,-28.1,C
Seattle_3041,-19.6,F
Berlin_3042,76.2,F
Tokio_3043,69.1,F
Phoenix_3044,14.9,C
Santiago_3045,56.7,F
Seattle_3046,36.7,C
Reykjavik_3047,101.1,F
Berlin_3048,57.4,F
Melbourne_3049,121.6,F
Denver_3050,41.4,F
Monterrey_3051,-13.2,C
Nueva York_3052,62.2,F
Reykjavik_3053,24.9,C
Caracas_3054,11.4,C
Cancun_3055,-18.6,F
Paris_3056,33.8,C
Ankara_3057,113.3,F
Cancun_3058,77.2,F
Las Vegas_3059,33.4,C
Caracas_3060,99.5,F
Sydney_3061,49.6,C
Lisboa_3062,53.2,F
Dubai_3063,3.6,C
Buenos Aires_3064,94,F
Cancun_3065,86.7,F
Bangkok_3066,11.1,C
Estocolmo_3067,8.2,C
Cancun_3068,-7.8,F
Chicago_3069,-5.1,F
Lagos_3070,120,F
Nairobi_3071,-9.7,F
Moscu_3072,-21.1,F
Houston_3073,86.7,F
Lima_3074,11.1,F
Puebla_3075,-17.2,F
Miami_3076,-0.9,F
Atenas_3077,-18,C
Nueva York_3078,-24.2,C
Chicago_3079,51,F
Paris_3080,-14.3,F
Lima_3081,33,F
Boston_3082,74.1,F
Moscu_3083,-16,C
Roma_3084,1.1,F
Sydney_3085,-21.3,C
Londres_3086,120.4,F
Lisboa_3087,90.9,F
Seattle_3088,104.6,F
Caracas_3089,-15.1,C
Tijuana_3090,9.5,C
Buenos Aires_3091,97,F
Nairobi_3092,-1.9,C
Budapest_3093,-11.3,C
Berlin_3094,-8.6,F
Lagos_3095,49.4,F
Tokio_3096,101.8,F
Denver_3097,100.2,F
Londres_3098,18.2,F
Buenos Aires_3099,-20.7,F
Nueva York_3100,-16.2,C
Las Vegas_3101,16.7,C
CDMX_3102,91,F
Moscu_3103,36.4,C
Toronto_3104,-23.6,C
Buenos Aires_3105,49.1,C
Denver_3106,107.9,F
Helsinki_3107,38,C
Pekín_3108,38.4,C
Puebla_3109,56,F
Honolulu_3110,38.4,C
Auckland_3111,13.9,C
Puebla_3112,97.2,F
Miami_3113,-18.3,C
Las Vegas_3114,98.8,F
Los Angeles_3115,58.4,F
Bangkok_3116,-10.8,C
Las Vegas_3117,43.8,F
Miami_3118,-14.2,C
Lisboa_3119,-13.3,F
Guadalajara_3120,113.7,F
Helsinki_3121,-4.3,F
Melbourne_3122,-4.7,C
Moscu_3123,7.2,C
Estocolmo_3124,6.4,C
Helsinki_3125,90.7,F
Mumbai_3126,29.4,C
Seattle_3127,12.3,C
Berlin_3128,93.4,F
Auckland_3129,-27.7,C
Estocolmo_3130,87.2,F
Guadalajara_3131,-9.2,F
CDMX_3132,114.7,F
Roma_3133,-0.6,C
Las Vegas_3134,86.9,F
Ankara_3135,102.2,F
Boston_3136,15.8,C
Las Vegas_3137,49.4,F
Madrid_3138,41.4,F
Toronto_3139,33.5,F
Auckland_3140,90,F
Bogota_3141,64.6,F
Singapur_3142,-7.1,C
Tijuana_3143,93.7,F
Auckland_3144,93,F
Chicago_3145,-14.5,C
Chicago_3146,37.6,C
CDMX_3147,-15.3,F
Guadalajara_3148,33.4,F
Toronto_3149,-12.8,F
Caracas_3150,92,F
Bogota_3151,45.8,F
Tijuana_3152,30.2,C
Lisboa_3153,81.9,F
Houston_3154,32.7,F
Santiago_3155,26.4,C
Tijuana_3156,65.2,F
Santiago_3157,-21,C
Oslo_3158,69.5,F
Oslo_3159,36.5,C
Denver_3160,94.9,F
Bogota_3161,41.8,F
Budapest_3162,22.7,F
Guadalajara_3163,-24.4,C
Guadalajara_3164,-2.5,F
Monterrey_3165,19,F
Auckland_3166,38.1,C
Santiago_3167,16.4,F
Madrid_3168,-7.9,F
Auckland_3169,31.5,C
Budapest_3170,13.8,C
Miami_3171,27.6,C
Las Vegas_3172,-5.7,C
Nairobi_3173,31.8,C
Auckland_3174,104.5,F
Lisboa_3175,12.8,C
Sydney_3176,5.9,F
Dubai_3177,112.8,F
Caracas_3178,66.9,F
Berlin_3179,18.3,C
Miami_3180,-15.9,C
Seattle_3181,63,F
Melbourne_3182,27,C
Budapest_3183,21.1,C
Reykjavik_3184,3,C
Seattle_3185,-0.4,F
Singapur_3186,8.2,C
Helsinki_3187,-17,C
Ankara_3188,9.1,F
Houston_3189,30.5,F
Tijuana_3190,43.5,C
Budapest_3191,79,F
Houston_3192,46.6,F
Budapest_3193,119.8,F
Lisboa_3194,34.8,C
Moscu_3195,114.5,F
Monterrey_3196,47.8,C
Auckland_3197,18.8,C
Londres_3198,-0.6,F
Caracas_3199,72.2,F
Phoenix_3200,44.8,C
Melbourne_3201,102.3,F
Auckland_3202,94.3,F
Moscu_3203,46.1,C
Bogota_3204,43.2,F
Atenas_3205,-24.7,C
Bangkok_3206,-26.6,C
Guadalajara_3207,8.7,C
Lisboa_3208,-27.8,C
Caracas_3209,8.5,C
Madrid_3210,21.4,F
Caracas_3211,9.5,F
Londres_3212,-9.8,C
Las Vegas_3213,76.2,F
Moscu_3214,19.6,C
Madrid_3215,30.8,C
Bangkok_3216,109.1,F
Ankara_3217,22.8,C
Berlin_3218,32.8,C
Ankara_3219,-5.8,C
Madrid_3220,90.6,F
Oslo_3221,65.9,F
Monterrey_3222,-0.1,C
Moscu_3223,13.8,C
Nueva York_3224,31.8,F
Singapur_3225,-1.3,C
Madrid_3226,78.2,F
CDMX_3227,-7,C
Ankara_3228,-16.8,C
Santiago_3229,25.1,F
Cairo_3230,113.7,F
Houston_3231,41.2,C
Honolulu_3232,-8.9,C
Lima_3233,71.6,F
Puebla_3234,39,C
Varsovia_3235,31.4,C
Paris_3236,-22.2,C
Seattle_3237,82.2,F
CDMX_3238,-12.5,C
Melbourne_3239,46,F
Lima_3240,35.5,C
Boston_3241,-3.2,F
Londres_3242,32.7,C
Helsinki_3243,-16,C
Pekín_3244,111.8,F
Nueva York_3245,-14.3,F
Sydney_3246,-28.5,C
Las Vegas_3247,-12.5,F
Tijuana_3248,29.4,C
Bangkok_3249,30.1,F
Caracas_3250,-26.8,C
Auckland_3251,-2.6,F
Moscu_3252,26.7,F
Cancun_3253,9.9,C
Ankara_3254,-10.9,C
Sydney_3255,119.3,F
Auckland_3256,78.5,F
Moscu_3257,-7.5,C
Lisboa_3258,39.1,F
Phoenix_3259,23.3,C
Estocolmo_3260,86.4,F
Puebla_3261,40.6,C
Melbourne_3262,13.3,C
Roma_3263,12.2,F
Paris_3264,41.2,F
Atenas_3265,32,C
Sydney_3266,120.4,F
Puebla_3267,81.6,F
Santiago_3268,88.6,F
Honolulu_3269,21.6,C
CDMX_3270,27.5,C
Berlin_3271,53.2,F
Las Vegas_3272,3.8,F
Tijuana_3273,29.5,C
Roma_3274,63.8,F
Melbourne_3275,92.6,F
Nueva York_3276,60.4,F
Mumbai_3277,-18.8,C
Toronto_3278,-16.3,C
Helsinki_3279,48.4,F
Londres_3280,29.5,C
Lima_3281,42.9,C
Lima_3282,108.2,F
Seattle_3283,40.7,F
Nueva York_3284,-20.4,C
Las Vegas_3285,96.9,F
Mumbai_3286,-9.3,C
Santiago_3287,72.4,F
Oslo_3288,46.7,F
Nueva York_3289,109.6,F
Caracas_3290,120.5,F
Boston_3291,-6.4,C
Las Vegas_3292,89.7,F
Nairobi_3293,-23.1,C
Phoenix_3294,22.9,F
Caracas_3295,69.6,F
Houston_3296,34.3,C
Honolulu_3297,0.4,C
Londres_3298,39,C
Las Vegas_3299,60.4,F
Tijuana_3300,100,F
Dubai_3301,84.7,F
Miami_3302,87.9,F
Los Angeles_3303,122,F
Madrid_3304,37,C
Guadalajara_3305,-28.8,C
Sydney_3306,-2.1,C
Phoenix_3307,-9.7,C
Nairobi_3308,-0.8,F
Estocolmo_3309,69.4,F
Los Angeles_3310,45.4,C
Phoenix_3311,3.3,C
Toronto_3312,66.9,F
Toronto_3313,-20.8,C
Seattle_3314,58.2,F
Bangkok_3315,-3,C
Oslo_3316,1.9,C
Boston_3317,26.7,F
Pekín_3318,88.1,F
Estocolmo_3319,47.3,F
Guadalajara_3320,114.5,F
Roma_3321,17.1,C
Monterrey_3322,-3,C
Sydney_3323,40.5,F
Phoenix_3324,-27.7,C
Los Angeles_3325,115.3,F
Las Vegas_3326,79.1,F
Monterrey_3327,58.6,F
Denver_3328,-0.2,F
Seattle_3329,-4.5,C
Lagos_3330,14.9,C
Nairobi_3331,14.1,C
Nairobi_3332,97.2,F
Lagos_3333,5,F
Budapest_3334,-7.2,C
Singapur_3335,68.9,F
Estocolmo_3336,36.6,C
Helsinki_3337,98.5,F
Bangkok_3338,13.6,C
Mumbai_3339,35.1,F
Seattle_3340,39.6,F
Roma_3341,49.3,C
Puebla_3342,18.8,F
Budapest_3343,-6.5,C
Denver_3344,90.8,F
Denver_3345,97.9,F
Toronto_3346,96.6,F
Mumbai_3347,6.1,C
Paris_3348,0.8,F
Phoenix_3349,56.9,F
Nairobi_3350,36.1,C
Lisboa_3351,0.8,C
Lima_3352,17.6,F
Miami_3353,8.3,F
Sydney_3354,-2.1,C
Lisboa_3355,22,C
Berlin_3356,30.3,F
Helsinki_3357,-19.6,F
Singapur_3358,15.8,F
Oslo_3359,-14.3,C
Madrid_3360,32.8,C
Guadalajara_3361,14.7,F
